tensor(0.3017, device='cuda:0')
tensor(0.3522, device='cuda:0')
tensor(0.3588, device='cuda:0')
tensor(0.3604, device='cuda:0')
tensor(0.3606, device='cuda:0')
tensor(0.3605, device='cuda:0')
tensor(0.3595, device='cuda:0')
tensor(0.3586, device='cuda:0')
tensor(0.3583, device='cuda:0')
tensor(0.3581, device='cuda:0')
tensor(0.3586, device='cuda:0')
tensor(0.3584, device='cuda:0')
tensor(0.3352, device='cuda:0')
tensor(0.3398, device='cuda:0')
tensor(0.3348, device='cuda:0')
tensor(0.3330, device='cuda:0')
tensor(0.3114, device='cuda:0')
tensor(0.3221, device='cuda:0')
tensor(0.3181, device='cuda:0')
tensor(0.3075, device='cuda:0')
tensor(0.3004, device='cuda:0')
tensor(0.2944, device='cuda:0')
tensor(0.2809, device='cuda:0')
tensor(0.2256, device='cuda:0')
tensor(0.1614, device='cuda:0')
tensor(0.2456, device='cuda:0')
tensor(0.2215, device='cuda:0')
tensor(0.2361, device='cuda:0')
tensor(0.2482, device='cuda:0')
tensor(0.2365, device='cuda:0')
tensor(0.2358, device='cuda:0')
tensor(0.2343, device='cuda:0')
tensor(0.2097, device='cuda:0')
tensor(0.1948, device='cuda:0')
tensor(0.1801, device='cuda:0')
tensor(0.1724, device='cuda:0')
tensor(0.1857, device='cuda:0')
tensor(0.0874, device='cuda:0')
tensor(0.1645, device='cuda:0')
tensor(0.1434, device='cuda:0')
tensor(0.1593, device='cuda:0')
tensor(0.1683, device='cuda:0')
tensor(0.1319, device='cuda:0')
tensor(0.1670, device='cuda:0')
tensor(0.1296, device='cuda:0')
tensor(0.1435, device='cuda:0')
tensor(0.1318, device='cuda:0')
tensor(0.1375, device='cuda:0')
tensor(0.1537, device='cuda:0')
tensor(0.1350, device='cuda:0')
tensor(0.0623, device='cuda:0')
tensor(0.1345, device='cuda:0')
tensor(0.1300, device='cuda:0')
tensor(0.1161, device='cuda:0')
tensor(0.1355, device='cuda:0')
tensor(0.1113, device='cuda:0')
tensor(0.1352, device='cuda:0')
tensor(0.1413, device='cuda:0')
tensor(0.1348, device='cuda:0')
tensor(0.1137, device='cuda:0')
tensor(0.1159, device='cuda:0')
tensor(0.1216, device='cuda:0')
tensor(0.1306, device='cuda:0')
tensor(0.0965, device='cuda:0')
tensor(0.1096, device='cuda:0')
tensor(0.1274, device='cuda:0')
tensor(0.1312, device='cuda:0')
tensor(0.1253, device='cuda:0')
tensor(0.1163, device='cuda:0')
tensor(0.1260, device='cuda:0')
tensor(0.1312, device='cuda:0')
tensor(0.1170, device='cuda:0')
tensor(0.1095, device='cuda:0')
tensor(0.1272, device='cuda:0')
tensor(0.1216, device='cuda:0')
tensor(0.1222, device='cuda:0')
tensor(0.1336, device='cuda:0')
tensor(0.1187, device='cuda:0')
tensor(0.1308, device='cuda:0')
tensor(0.1246, device='cuda:0')
tensor(0.1288, device='cuda:0')
tensor(0.1298, device='cuda:0')
tensor(0.1261, device='cuda:0')
tensor(0.1224, device='cuda:0')
tensor(0.1284, device='cuda:0')
tensor(0.1244, device='cuda:0')
tensor(0.1297, device='cuda:0')
tensor(0.1297, device='cuda:0')
tensor(0.1329, device='cuda:0')
tensor(0.1044, device='cuda:0')
tensor(0.1184, device='cuda:0')
tensor(0.1231, device='cuda:0')
tensor(0.1336, device='cuda:0')
tensor(0.1158, device='cuda:0')
tensor(0.1306, device='cuda:0')
tensor(0.1213, device='cuda:0')
tensor(0.1263, device='cuda:0')
tensor(0.1224, device='cuda:0')
tensor(0.1138, device='cuda:0')
tensor(0.1196, device='cuda:0')
tensor(0.1053, device='cuda:0')
tensor(0.1069, device='cuda:0')
tensor(0.1033, device='cuda:0')
tensor(0.1309, device='cuda:0')
tensor(0.0928, device='cuda:0')
tensor(0.0943, device='cuda:0')
tensor(0.1048, device='cuda:0')
tensor(0.1129, device='cuda:0')
tensor(0.1090, device='cuda:0')
tensor(0.0979, device='cuda:0')
tensor(0.1021, device='cuda:0')
tensor(0.1082, device='cuda:0')
tensor(0.0951, device='cuda:0')
tensor(0.0927, device='cuda:0')
tensor(0.0998, device='cuda:0')
tensor(0.0898, device='cuda:0')
tensor(0.0945, device='cuda:0')
tensor(0.1016, device='cuda:0')
tensor(0.0999, device='cuda:0')
tensor(0.0999, device='cuda:0')
tensor(0.1084, device='cuda:0')
tensor(0.1025, device='cuda:0')
tensor(0.0975, device='cuda:0')
tensor(0.1087, device='cuda:0')
tensor(0.1026, device='cuda:0')
tensor(0.1036, device='cuda:0')
tensor(0.1117, device='cuda:0')
tensor(0.0978, device='cuda:0')
